Date,Site,Block,SubBlock,Plot,Subplot,SeedingStrat,Irrigation,GrassOrig,ShrubOrig,GrassDens2014,GrassDens2016,GrassDensNoSPAI2017,GrassDens2017,ShrubDens2016,AllShrubSoField2017,WeedDens2016,WeedDens2017,WeedHeight2016
16-May,North,2,2-Spring,1,1B,I,Spring,Wild-collected,Local,-,3.7,-,-,0,-,142.4,-,28.7
16-May,North,2,2-Spring,2,2A,I,Spring,Commercial,Local,-,3.7,-,-,0,-,255.2,-,38.7
16-May,North,2,2-Spring,2,2B,I,Spring,Commercial,Distant,-,9.2,-,-,0,-,149.6,-,30
16-May,North,2,2-Spring,3,3A,II,Spring,Wild-collected,Distant,-,1.4,-,-,0,-,524,-,27.8
16-May,North,2,2-Spring,3,3B,II,Spring,Wild-collected,Local,-,0.9,-,-,0,-,1108,-,30.8
16-May,North,2,2-Spring,4,4A,II,Spring,Commercial,Local,-,1.5,-,-,0,-,1250.4,-,14.1
16-May,North,2,2-Spring,4,4B,II,Spring,Commercial,Distant,-,1.3,-,-,0.1,-,1268.4,-,23.1
16-May,North,2,2-Spring,5,5A,III,Spring,-,Local,-,0,-,-,0,-,449.6,-,27.5
16-May,North,2,2-Spring,5,5B,III,Spring,-,Distant,-,0.2,-,-,0,-,1046.8,-,28.3
16-May,North,2,2-Spring,6,6A,IV,Spring,-,Distant,-,0.1,-,-,0,-,75.2,-,35
16-May,North,2,2-Spring,6,6B,IV,Spring,-,Local,-,0.5,-,-,0,-,43.2,-,44.2
16-May,North,2,2-Spring,7,7A,V,Spring,-,-,-,0,-,-,0,-,702.4,-,28.9
16-May,North,2,2-Spring,7,7B,V,Spring,-,-,-,0,-,-,0,-,593.2,-,19.3
16-May,North,3,3-Fall-Spring,1,1A,I,Fall-Spring,Wild-collected,Distant,-,1.4,-,-,0,-,168.4,-,21.4
